GROUP_DESC,COMMODITY_DESC,CLASS_DESC,VALUE,CROP_SP,IN_CDL,CDL_CAT
FRUIT & TREE NUTS,PINEAPPLES,ALL CLASSES,211,PINEAPPLES,FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,PISTACHIOS,ALL CLASSES,227408,PISTACHIOS,TRUE,PISTACHIOS
FRUIT & TREE NUTS,PLUM-APRICOT HYBRIDS,INCL PLUMCOTS & PLUOTS,3316.5,PLUM-APRICOT HYBRIDS,FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,PLUMS,ALL CLASSES,20245.5,PLUMS,TRUE,PLUMS
FRUIT & TREE NUTS,PLUMS & PRUNES,ALL CLASSES,87263,torm,NA,NA
FRUIT & TREE NUTS,POMEGRANATES,ALL CLASSES,32528.5,POMEGRANATES,TRUE,POMEGRANATES
FIELD CROPS,POPCORN,ALL CLASSES,164770,MAIZE,TRUE,MAIZE
VEGETABLES,POTATOES,ALL CLASSES,937633.5,POTATOES,TRUE,POTATOES
HORTICULTURE,PROPAGATIVE MATERIAL,ALL CLASSES,1615,torm,NA,NA
FRUIT & TREE NUTS,PRUNES,ALL CLASSES,52801,PRUNES,TRUE,PRUNES
VEGETABLES,PUMPKINS,ALL CLASSES,102469.5,PUMPKINS,TRUE,PUMPKINS
VEGETABLES,RADISHES,ALL CLASSES,17082,RADISHES,TRUE,RADISHES
FIELD CROPS,RAPESEED,ALL CLASSES,935,BRASSICA NAPUS,TRUE,BRASSICA NAPUS
FRUIT & TREE NUTS,RASPBERRIES,ALL CLASSES,21843,RASPBERRIES,TRUE,RASPBERRIES
FRUIT & TREE NUTS,RASPBERRIES,BLACK,961,torm,NA,NA
FRUIT & TREE NUTS,RASPBERRIES,RED,9982,torm,NA,NA
VEGETABLES,RHUBARB,ALL CLASSES,1352.5,RHUBARB,NA,MISC VEGS & FRUITS
FIELD CROPS,RICE,ALL CLASSES,2662913,RICE,TRUE,RICE
FIELD CROPS,RYE,ALL CLASSES,209205,RYE,TRUE,RYE
FIELD CROPS,SAFFLOWER,ALL CLASSES,114643,SAFFLOWER,TRUE,SAFFLOWER
FIELD CROPS,SESAME,ALL CLASSES,8885,SESAME,FALSE,OTHER SMALL GRAINS
HORTICULTURE,SHORT TERM WOODY CROPS,ALL CLASSES,49326,torm,NA,NA
HORTICULTURE,SOD,ALL CLASSES,182511,torm,FALSE,SOD/GRASS
FIELD CROPS,SORGHUM,ALL CLASSES,5464970,SORGHUM,TRUE,SORGHUM
FIELD CROPS,SOYBEANS,ALL CLASSES,76031431,SOYBEANS,TRUE,SOYBEANS
VEGETABLES,SPINACH,ALL CLASSES,43117.5,SPINACH,FALSE,MISC VEGS & FRUITS
VEGETABLES,SQUASH,ALL CLASSES,78224,SQUASH,TRUE,SQUASH
VEGETABLES,SQUASH,SUMMER,26040.5,torm,NA,NA
VEGETABLES,SQUASH,WINTER,18610.5,torm,NA,NA
FRUIT & TREE NUTS,STRAWBERRIES,ALL CLASSES,65309,STRAWBERRIES,TRUE,STRAWBERRIES
FIELD CROPS,SUGARBEETS,ALL CLASSES,1206761,SUGARBEETS,TRUE,SUGARBEETS
FIELD CROPS,SUGARCANE,ALL CLASSES,885744,SUGARCANE,TRUE,SUGARCANE
FIELD CROPS,SUNFLOWER,ALL CLASSES,1823048,SUNFLOWER,TRUE,SUNFLOWER
FIELD CROPS,SUNFLOWER,NON-OIL TYPE,191808,torm,NA,NA
FIELD CROPS,SUNFLOWER,OIL TYPE,1218230,torm,NA,NA
VEGETABLES,SWEET CORN,ALL CLASSES,603316.5,MAIZE,TRUE,MAIZE
VEGETABLES,SWEET POTATOES,ALL CLASSES,103365,SWEET POTATOES,TRUE,SWEET POTATOES
FIELD CROPS,SWITCHGRASS,ALL CLASSES,474,SWITCHGRASS,TRUE,SWITCHGRASS
FRUIT & TREE NUTS,TANGELOS,ALL CLASSES,6009.5,TANGELOS,FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,TANGERINES,ALL CLASSES,40361,TANGERINES,FALSE,MISC VEGS & FRUITS
FIELD CROPS,TARO,ALL CLASSES,481,TARO,FALSE,OTHER CROPS
FRUIT & TREE NUTS,TEMPLES,ALL CLASSES,53,TEMPLES,FALSE,MISC VEGS & FRUITS
FIELD CROPS,TOBACCO,ALL CLASSES,333783,TOBACCO,TRUE,TOBACCO
VEGETABLES,TOMATOES,ALL CLASSES,402784.5,TOMATOES,TRUE,TOMATOES
HORTICULTURE,TRANSPLANTS,"COMMERCIAL, VEGETABLE & STRAWBERRY",794,torm,NA,NA
HORTICULTURE,TRANSPLANTS,"COMMERCIAL, TOBACCO",27,torm,NA,NA
FRUIT & TREE NUTS,"TREE NUTS, OTHER",ALL CLASSES,3842,"TREE NUTS, OTHER",FALSE,OTHER TREE CROPS
FIELD CROPS,TRITICALE,ALL CLASSES,24687,TRITICALE,TRUE,TRITICALE
VEGETABLES,TURNIPS,ALL CLASSES,2596.5,TURNIPS,TRUE,TURNIPS
HORTICULTURE,VEGETABLE SEEDS,ALL CLASSES,52996.5,torm,NA,NA
VEGETABLES,"VEGETABLES, OTHER",ALL CLASSES,72524,"VEGETABLES, OTHER",FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,WALNUTS,ENGLISH,314350,WALNUTS,TRUE,WALNUTS
VEGETABLES,WATERCRESS,ALL CLASSES,529.5,WATERCRESS,FALSE,MISC VEGS & FRUITS
FIELD CROPS,WHEAT,ALL CLASSES,48951262,torm,NA,NA
FIELD CROPS,WHEAT,WINTER,33285369,"WHEAT, COMMON",TRUE,"WHEAT, COMMON"
FIELD CROPS,WHEAT,"SPRING, (EXCL DURUM)",11755002,"WHEAT, COMMON",TRUE,"WHEAT, COMMON"
FIELD CROPS,WHEAT,"SPRING, DURUM",2062003,"WHEAT, DURUM",TRUE,"WHEAT, DURUM"
FIELD CROPS,WILD RICE,ALL CLASSES,19417,WILD RICE,FALSE,OTHER SMALL GRAINS
