geo.id,Dg_allSP,CropArea_acres,Dg_CDLcat,total_area,CropArea_prop
49021,1.32356009591064,53531,1.32353648929278,8548866031.44362,0.0253404685897169
32009,1.00069083642654,15411,1.00069083642654,9295602815.23683,0.00670920493971401
26083,,,,15452552104.06,
49039,1.74951691658954,49787.5,1.74951691658954,4149951320.11962,0.0485506572458861
20093,3.2895050944024,226459,3.2895050944024,2255830423.80647,0.406257070074388
12009,4.84452631567141,1637,4.12227831681877,4032681818.28357,0.00164275394439338
18105,2.63918111632565,18707,2.63831819591884,1065317620.90385,0.0710628845410504
19117,2.94311666578115,60830,2.94311666578115,1125110525.76498,0.218796527574228
21239,4.53817926181035,11283,4.53594946242557,497319497.547394,0.0918135750541086
45053,6.26037313354795,327,5.87124386159295,1817086398.83636,0.000728265893670348
48043,3.31806255199259,123,3.28087566580059,16037936183.7917,3.10366205633273e-05
45065,7.18680696650756,11,7.18680696650756,1020120036.20508,4.36374338965056e-05
45087,10.9542398015478,85,10.7108941874895,1336501656.55402,0.000257375510323655
27103,2.20248100872697,240830,2.20243029657563,1209450316.74398,0.805824281257267
55075,3.5528914999225,79495,3.55279097095893,4014476258.55014,0.0801361947560438
53011,8.91516833869629,8011,8.59922533528807,1697993256.26465,0.0190927535667395
55099,3.00559137757312,15654.5,3.00559137757312,3310087110.44463,0.0191389264846118
18103,2.51116991964217,153737,2.51116991964217,977431581.834473,0.636516741809014
20053,3.09753503734976,125408.5,3.09750079667531,1873300865.00544,0.270917610261753
22123,3.76429950782553,91581,3.76424252670843,933864838.294586,0.396861668650709
12077,2,2,2,2183681852.08722,3.70645240150887e-06
20083,2.52097803561379,162376,2.52097803561379,2228195594.24672,0.294907843880632
20119,3.19650152181629,245307,3.19650152181629,2536480836.54616,0.391377768010829
21149,2.72708050852061,92234,2.72703952029588,663647602.966858,0.562433667499108
28001,1.0905901993831,7139,1.0905901993831,1262738075.16657,0.0228792562509076
28057,2.22379849515735,19422,2.2236397715813,1399758584.54468,0.0561511437069841
21073,4.55607487069764,7010,4.54741312170591,549098634.597382,0.0516636934306434
23009,1.70611507733954,6369.5,1.6985778879587,6073342270.302,0.00424419550805179
23013,3.55211557614374,2644,3.52438917506903,2962801190.0575,0.00361140950554902
13217,3.9064127443967,4121,3.90328977617202,723119348.227356,0.0230627148306741
46049,3.5875832562805,344143,3.5875832562805,2605248665.97823,0.534573658154459
26061,4.62674617029246,2702,4.60837412099288,3888908902.99976,0.00281174137169689
30061,1.03105606879494,1039,1.03105606879494,3168697147.58594,0.00132694404893725
47051,3.33992516665665,51014,3.33970939269436,1491188380.82059,0.138444167207572
22029,4.43848190034453,157175,4.4384427528001,1935502564.54446,0.32863023270673
22063,6.74779276422303,208,6.49171690632898,1790868948.483,0.00047002106802523
25009,10.0350569052815,2793,9.70326149231292,2145783265.64356,0.00526747979105583
46019,2.71835915177126,59145,2.71835915177126,5870249810.70267,0.0407736179585512
08035,1.75459240255058,3906,1.75459240255058,2183034906.83038,0.00724084673883899
45079,5.26466241341321,29735,5.25943138168079,1999307331.14581,0.0601874828574256
18095,2.14538539283739,186527.5,2.14536944813959,1173016917.79994,0.643511615113771
40099,3.43200328686661,4547,3.43095709342015,1100989964.25427,0.0167131915367788
54009,1.74623583472623,1705.5,1.74481700546787,239748261.512421,0.0287881696612246
54013,8.52325268278512,142,8.44044811944635,726957012.885212,0.000790491874753451
51021,2.00176872668458,2415,2.00176872668458,928858667.003326,0.0105216849530253
30111,4.69630757066327,195100,4.69627420089611,6860595066.44806,0.115083557674394
54043,6.75332746103383,54,6.75332746103383,1135948661.51086,0.000192376868967779
06033,4.26385175706837,21210.5,4.2488804379262,3443201063.70401,0.0249290838842207
13131,4.69244384800595,42663,4.67712944403203,1192078072.49951,0.144831986706074
08021,1.45002438122428,55101,1.45002438122428,3343659306.22017,0.066689161576912
49037,2.32975457191804,6690,2.32927185278218,20546995198.6857,0.00131763643316507
18133,2.49223768625476,144963,2.49223768625476,1250171800.27258,0.469251064079723
16047,3.69405271235192,137199,3.69405271235192,1901405422.55756,0.292007505453536
47167,3.5344310092431,121256,3.53423685944485,1225876515.62309,0.400289601848778
22121,1.62691743642907,21463,1.62691743642907,527896035.292023,0.164535578195663
29171,2.43750013526539,47675,2.43750013526539,1345787227.18268,0.143361354633909
56039,1.01343264137509,1925,1.01343264137509,10922649310.1246,0.000713215117682022
55043,3.06477256939026,329100,3.06460132754549,3064923968.57471,0.434536211099286
38059,5.41061484761916,449797.5,5.41049072790148,5038703069.18277,0.36125683070856
37041,6.65592605712421,53488,6.65575355201672,605146170.667419,0.357695820966029
37021,5.40399427550413,3360,5.32759041090816,1709261887.47519,0.0079551516820803
06063,1.07685116249542,7739,1.07533081305588,6768789071.50995,0.00462691650191534
51730,,,,59423153.9588928,
50023,3.74692409445468,5694,3.69133204992512,1800606315.45691,0.0127972451675526
