GEOID,Dg
13231,6.80421670838542
13233,3.99133117495997
13235,4.64409787224462
13237,4.08677798096888
13239,4.3933000633651
13241,5.92006070428904
13243,5.78399104894044
13245,5.85524148303697
13249,6.27383533447359
13251,4.49719268950984
13253,4.09173401592878
13255,4.26113589162204
13259,4.71685201552317
13261,5.96166904004506
13263,8.39891239312073
13267,5.20435517181941
13269,6.25906013504213
13271,5.1768072609916
13273,5.17088075961328
13275,3.53994582136386
13277,3.66164623372565
13279,5.53084819366183
13281,2.7607126761871
13283,4.732753581237
13287,3.79414276838945
13289,3.64352200154379
13291,2.30680936254727
13293,4.42801562700086
13295,3.1683674940848
13297,4.73822239419739
13299,4.59564295338701
13301,4.68973451999103
13303,7.01417546698969
13305,4.36110727743602
13307,4.75518805364002
13309,5.49030508633612
13311,1.80319761389437
13313,2.35045039553677
13315,3.94836880319459
13317,4.77830812819295
13319,4.88906427575121
13321,3.83430178827383
16001,5.7071089306108
16003,1.31586674473553
16005,3.54909660351602
16011,4.57107345332924
16013,3.45653338011289
16015,1.49726924727873
16019,4.35992501220288
16021,4.15800023263859
16023,2.78072092461899
16025,1.83174487950656
16027,8.01403750216836
16029,3.78007021818617
16031,6.66940322626736
16033,3.41154747250914
16035,3.42450312644278
16037,1.96460147192052
16039,6.17696567820644
16041,3.64004972198651
16043,4.16597886613469
16045,4.18183535997215
16047,3.84160299391279
16049,3.260304112092
16051,4.08461184034766
16053,6.28336614257734
16055,4.6632026386976
16057,3.62379286517383
16059,1.37341178790369
16061,3.80978660878938
16063,5.15856769552991
16065,4.34116047737339
16067,6.22431252183174
16069,3.98615806869154
16071,3.12428072368576
16073,4.54143416677477
16075,5.8351291733223
16077,4.3028532574912
16081,3.37424526021778
16083,6.3772539700778
16087,3.2002439679293
17001,2.24984938614876
17003,2.06043650554429
17005,2.61423944751124
17007,2.1820794192785
17009,2.19978978964967
17011,1.97508686315693
17013,2.26459255593307
17015,1.88513976940306
17017,2.06941886519708
17019,2.07001424408859
17021,2.04337555149188
17023,2.18375045526647
17025,2.47046776323395
17027,2.83607855906955
17029,2.09174173521727
17031,2.23877092769359
17033,2.28915154964059
17035,2.15197583193441
17037,2.0584955214834
17039,2.03272473631264
17041,2.09545134145109
17043,2.21214521470002
17045,2.05091924618622
17047,2.45536805868644
17049,2.31804624747165
17051,2.35297348131657
17053,2.12255168193182
17055,2.52210310350029
17057,2.10527674026819
17059,2.38364515580003
17061,2.13304668984001
17063,2.05204070823945
17065,2.55472110741031
17067,2.13262801128536
17069,2.19667799749053
17071,2.05966443566187
17073,2.0997624809803
17075,2.11226677715895
17077,2.55076901217215
17079,2.23608119226721
17081,2.59910138631041
17083,2.16564279651724
17085,2.14343271972516
17087,2.22403305321646
17089,2.20258335987495
17091,2.24714032952747
17093,2.16309771627868
17095,2.08245455487659
17097,2.63024622514548
17099,2.08569929766096
17101,2.51301088996205
17103,1.89636929150954
17105,2.13434982803665
17107,2.01334890152433
17109,2.05646437069941
17111,2.26058116998652
17113,2.05121822568973
17115,2.02176570059673
17117,2.16702230946459
17119,2.54332313621368
17121,2.52348581800417
17123,2.07584065190635
17125,2.24816513969189
17127,2.35301700391038
17129,2.12473206672522
17131,2.10409277566367
17133,2.85726940996231
17135,2.21349175400781
17137,2.0588038919082
17139,2.0790478624601
17141,1.97978135562316
17143,2.18212134301594
17145,2.743155517137
17147,2.05414598440463
17149,2.11011190949521
17151,2.20677759964421
17153,2.34462289507068
17155,2.11161847427032
17157,2.75430458718646
17159,2.44417851080936
17161,2.2379288676589
17163,2.61287802850261
17165,2.22384574236526
17167,1.99167923134602
17169,2.2259352357787
17171,2.10235291414309
17173,2.17931520869487
17175,2.06369035710057
17177,2.10296857025614
17179,2.2746241411842
17181,2.27473221843731
17183,2.07344672048741
17185,2.37150756124136
17187,2.02459616480801
17189,2.88657580445765
17191,2.46908852149138
17193,2.48078687831783
17195,1.87510621016792
17197,2.37771822256318
17199,2.29541761114698
17201,2.20703970480952
17203,2.1328540315234
18001,2.5846625351893
18003,2.58794723271845
18005,2.36858985176416
18007,2.10604500851571
18009,2.22413230692105
18011,2.19944430214538
18013,2.4582996091303
18015,2.23600093912228
18017,2.32168307382731
18019,2.45402917839852
18021,2.1322922925414
18023,2.13530189125581
18025,2.27638275775479
18027,2.27095682120313
18029,2.24998291504847
18031,2.27496347803894
18033,2.61940975267442
18035,2.19980825522676
18037,2.39112565293875
18039,2.45449474200265
18041,2.25738559498642
18043,2.2606845386612
18045,2.19846234294656
18047,2.2714799335901
18049,2.27006634114085
18051,2.78755240601895
18053,2.21917566397666
18055,2.19763386268657
18057,2.23401728032205
18059,2.21638737138889
18061,2.42119786434659
18063,2.25123476790762
18065,2.27834668356762
18067,2.21733671690004
18069,2.34517875063313
18071,2.33700119142109
18073,2.08241857011873
18075,2.47671403457885
18077,2.17005489407652
18079,2.21600020294905
18081,2.28773266601053
18083,2.6118748774907
18085,2.38430920492946
18087,2.58422534223707
18089,2.19989928009522
18091,2.43200014841404
18093,2.25376834110526
18095,2.1504744673738
18097,2.41569883179146
18099,2.34972781859156
